waktu_interaksi,text_final,diggCount,replyCommentTotal
2025-01-23 03:03:12+00:00,semangatt kakkkk,3,1.0
2025-01-23 03:42:35+00:00,semangat yaaa,0,0.0
2025-01-27 03:50:30+00:00,kerenn moga posisi aamiinn,1,0.0
2025-02-10 08:45:24+00:00,pngen bgt yaallah,2,1.0
2025-02-10 10:35:45+00:00,aamiin,0,0.0
2025-03-22 14:23:57+00:00,so inspiring,1,0.0
2025-01-23 19:12:14+00:00,mashaallah all muslims are proud of you keep going sister,2,0.0
2025-01-25 04:05:46+00:00,,1,0.0
2025-02-26 16:37:44+00:00,moga nyusul,1,0.0
2025-07-29 16:16:20+00:00,fyp sekarangg,3,4.0
2025-06-30 00:39:00+00:00,how about for australia,0,0.0
2025-05-12 13:50:38+00:00,nice information,2,0.0
2025-07-18 01:50:33+00:00,,0,0.0
2025-06-04 12:51:08+00:00,tolak visa studentnya,0,0.0
2025-06-24 18:43:29+00:00,kaist minimal ielts fresh graduate apply,0,0.0
2025-06-01 16:06:05+00:00,smt convert sksnya,0,0.0
2025-06-28 08:23:49+00:00,canada feenya,0,0.0
2025-06-12 11:44:03+00:00,south africa tembus,0,0.0
2025-05-10 07:57:10+00:00,daftar,1,3.0
2025-05-13 01:59:19+00:00,langsung ketik nama exchange google,0,0.0
2025-05-29 16:26:07+00:00,canada gada web web resmi,0,0.0
2025-05-11 06:20:11+00:00,b inggris,8,1.0
2025-05-09 10:48:22+00:00,tu beneran siii,2,4.0
2025-05-10 02:04:40+00:00,iyaap,0,0.0
2025-07-07 10:48:59+00:00,daftar kuliah negeri beasiswa prestasi sebenernya nggk,0,0.0
2025-05-26 14:52:15+00:00,langkah langkah paham ajar lambat,0,1.0
2025-06-02 03:41:14+00:00,siap,0,0.0
2025-05-15 02:45:53+00:00,apply fully funded tanggung persen,8,4.0
2025-05-15 11:06:12+00:00,gaada fully funded biaya penuh,8,0.0
2025-07-28 08:19:00+00:00,,1,0.0
2025-05-16 12:32:59+00:00,,0,0.0
2025-05-15 06:50:54+00:00,,0,0.0
2025-06-02 11:23:09+00:00,,0,0.0
2025-05-20 04:02:31+00:00,,0,0.0
2025-06-23 23:35:54+00:00,,0,0.0
2025-06-15 11:31:05+00:00,,0,0.0
2025-06-05 16:44:38+00:00,,0,0.0
2025-06-09 11:10:26+00:00,serius afrika selatan ketemu jerapah,0,0.0
2025-06-02 12:30:19+00:00,pengennnnntapi tidak tahu mesti mula,361,38.0
2025-06-03 03:17:12+00:00,hallo tinggal australia visa,8,2.0
2025-04-02 21:31:36+00:00,motivational,1,0.0
2025-01-23 22:07:54+00:00,fighting,1,0.0
2025-01-24 04:03:59+00:00,keren,1,0.0
2025-03-08 03:32:13+00:00,,1,0.0
2025-01-23 12:52:44+00:00,semangat,1,0.0
2025-01-23 17:31:23+00:00,omggg keren bgtt,1,0.0
2025-01-23 17:52:40+00:00,girlll keren bangett,1,0.0
2025-01-28 07:08:42+00:00,kereen,1,1.0
2025-08-14 15:15:45+00:00,template,0,0.0
2025-08-30 07:45:01+00:00,templetnya,0,0.0
2025-08-15 04:31:06+00:00,template,0,0.0
2025-08-20 03:41:08+00:00,essay,0,0.0
2025-08-26 03:42:01+00:00,kakkk,0,0.0
2025-08-26 09:06:29+00:00,berat share template essaynya makasih,0,0.0
2025-08-26 02:33:07+00:00,,0,0.0
2025-09-01 07:40:56+00:00,up,1,0.0
2025-09-02 07:16:56+00:00,upp,0,0.0
2025-09-01 14:10:44+00:00,up,0,0.0
2025-08-31 09:44:46+00:00,up,0,0.0
2025-08-14 10:31:18+00:00,templatenya,0,0.0
2025-08-28 04:17:28+00:00,kakak,0,0.0
2025-08-27 12:15:07+00:00,mauuu,0,0.0
2025-07-30 01:04:53+00:00,mesti,1,0.0
2025-06-01 08:35:26+00:00,exchange beasiswa,0,1.0
2025-05-09 20:56:06+00:00,s,1,1.0
2025-05-13 01:59:05+00:00,iyaap,1,0.0
2025-08-15 10:58:42+00:00,templatenya group join,0,0.0
2025-08-23 06:25:06+00:00,templatenya mbak,0,0.0
2025-08-26 04:58:52+00:00,essayyy mauu,0,0.0
2025-08-14 15:35:41+00:00,hallo share templatenya,0,0.0
2025-08-22 10:27:57+00:00,tenplatenya,0,0.0
2025-08-16 00:07:42+00:00,templatenya,0,0.0
2025-08-27 04:32:58+00:00,mauu,0,0.0
2025-01-23 03:41:32+00:00,yesss youve got this,15,0.0
2025-01-24 06:12:47+00:00,thank you aamiin,2,0.0
2025-01-23 12:57:11+00:00,omg you did so great so far gluck for your ielts test,0,0.0
2025-01-23 07:33:12+00:00,indeed all we have to do is fight for our own dreams,4,0.0
2025-01-23 00:38:52+00:00,yeah youve got this,0,0.0
2025-01-24 18:22:24+00:00,i feel old yes i am but im gon na claim this energy,1,0.0
2025-01-24 21:46:38+00:00,we are never too old for reaching our dreams better late than never xixi,0,0.0
2025-01-30 16:08:05+00:00,then you will soon be in the next stage kee fighting yaaa,0,0.0
2025-05-09 11:06:21+00:00,beneran,0,0.0
2025-09-01 23:12:17+00:00,izin gama exchange negara biaya sana makan cover,0,0.0
2025-09-02 00:48:55+00:00,hi exchange fully funded tanggung,0,0.0
2025-07-30 01:44:13+00:00,please video lagiii tua hahaha,0,0.0
2025-07-30 04:56:23+00:00,follow,0,0.0
2025-07-30 05:07:22+00:00,done,0,0.0
2025-05-19 11:14:03+00:00,kelas semester daftar,0,0.0
2025-06-20 11:46:34+00:00,google rate dollar us canada,0,0.0
2025-03-07 16:23:30+00:00,kerenn manchester saluttt,1,0.0
2025-02-03 08:49:34+00:00,masyaallah keren bgt,1,0.0
2025-01-28 11:34:22+00:00,makasiihhh,0,0.0
2025-03-13 11:39:32+00:00,claiming this energyyy,1,0.0
2025-01-29 10:50:40+00:00,video langsung bayang kedip,1,0.0
2025-05-15 11:47:18+00:00,percaya biaya hidup,3,0.0
2025-06-04 09:23:42+00:00,tes ielts toefl,0,0.0
2025-05-11 07:48:10+00:00,ielts,0,0.0
2025-06-02 03:40:54+00:00,exchange tukar ajar budaya beasiswa gratis biaya sedia,0,0.0
